,SAMPID_pancreas
0,GTEX-11EQ9-1026-SM-5H134
1,GTEX-11GSP-0426-SM-5A5KX
2,GTEX-11TT1-0326-SM-5LUAY
3,GTEX-12WSD-1626-SM-5GCNR
4,GTEX-12WSG-1026-SM-5EGII
5,GTEX-12WSL-0426-SM-5GCNX
6,GTEX-131XE-1926-SM-5IFER
7,GTEX-132AR-1826-SM-5EGHR
8,GTEX-1399R-0426-SM-5IJE3
9,GTEX-139YR-1526-SM-5IFJ1
10,GTEX-13FLV-0626-SM-5IFEY
11,GTEX-13FTW-0526-SM-5IFIP
12,GTEX-13N11-0226-SM-5KM3C
13,GTEX-13O1R-1826-SM-5KM3B
14,GTEX-13PVR-0726-SM-5S2PX
15,GTEX-13SLX-1326-SM-5S2QS
16,GTEX-144GM-0726-SM-79OJQ
17,GTEX-145MO-2126-SM-5Q5CZ
18,GTEX-146FH-1826-SM-5QGQ7
19,GTEX-148VI-0826-SM-5TDDI
20,GTEX-1497J-0426-SM-5Q5CO
21,GTEX-14AS3-0326-SM-5Q5DB
22,GTEX-14PHX-2026-SM-6872C
23,GTEX-14PJO-1826-SM-69LPR
24,GTEX-15DYW-1626-SM-6LLI1
25,GTEX-15ER7-1326-SM-6LPK9
26,GTEX-15RJ7-0826-SM-6LLI8
27,GTEX-17HGU-2026-SM-79OKS
28,GTEX-17HHE-0526-SM-7DUGR
29,GTEX-17MF6-1426-SM-7IGOX
30,GTEX-18A66-2126-SM-7189D
31,GTEX-18A6Q-1726-SM-7LT9A
32,GTEX-18A7A-1726-SM-7LT93
33,GTEX-1A8FM-1826-SM-7MGXO
34,GTEX-1AMFI-0726-SM-731D9
35,GTEX-1AX8Z-1726-SM-731DE
36,GTEX-1B932-1626-SM-731EA
37,GTEX-1B933-1726-SM-731FC
38,GTEX-1B98T-2126-SM-79OOG
39,GTEX-1B996-1326-SM-731EO
40,GTEX-1C6VQ-1726-SM-7IGLQ
41,GTEX-1CAMQ-1626-SM-7MGXG
42,GTEX-1CB4F-1226-SM-7DHKU
43,GTEX-1GF9X-1126-SM-7MKHC
44,GTEX-1GN1U-1126-SM-9WPPZ
45,GTEX-1H11D-0926-SM-9OSXO
46,GTEX-1H23P-2026-SM-9OSXY
47,GTEX-1HCU6-1926-SM-A8NA6
48,GTEX-1ICG6-1126-SM-ADEIF
49,GTEX-1J8EW-1926-SM-CGQGR
50,GTEX-1K9T9-1726-SM-CXZK1
51,GTEX-1QPFJ-2226-SM-EXOJW
52,GTEX-O5YT-1026-SM-3MJGF
53,GTEX-OIZF-1026-SM-7P8QV
54,GTEX-OIZF-1026-SM-2HML5
55,GTEX-OIZF-1026-SM-2AXUK
56,GTEX-OOBJ-1026-SM-3NB2L
57,GTEX-PWOO-0626-SM-48TZH
58,GTEX-PX3G-1026-SM-48TZW
59,GTEX-Q734-0426-SM-48TZX
60,GTEX-QDVN-0926-SM-2I5GL
61,GTEX-QEL4-1326-SM-447AD
62,GTEX-QESD-0226-SM-447BH
63,GTEX-QV44-0426-SM-4R1KF
64,GTEX-QV44-0426-SM-4R1KF
65,GTEX-R53T-0426-SM-48FEM
66,GTEX-RM2N-0326-SM-48FD8
67,GTEX-S32W-0826-SM-5S2SI
68,GTEX-S32W-0826-SM-4AD5Z
69,GTEX-S33H-1226-SM-4AD69
70,GTEX-S4Z8-1126-SM-4AD5C
71,GTEX-TKQ2-0426-SM-4DXUO
72,GTEX-U8XE-2026-SM-3DB8S
73,GTEX-UPIC-0726-SM-3GADW
74,GTEX-VUSG-0326-SM-3GIJ7
75,GTEX-VUSG-0326-SM-5S2ST
76,GTEX-WFON-0626-SM-4LVLX
77,GTEX-WFON-0626-SM-5S2SX
78,GTEX-WQUQ-2126-SM-4OOSO
79,GTEX-WY7C-1026-SM-4OND3
80,GTEX-WYVS-0926-SM-4SOJV
81,GTEX-WYVS-0926-SM-4SOJV
82,GTEX-X3Y1-0726-SM-3P5YU
83,GTEX-XXEK-1726-SM-4BRVB
84,GTEX-XXEK-1726-SM-5S2SR
85,GTEX-Y5LM-0526-SM-4V6G3
86,GTEX-Y5V5-1026-SM-5LUAH
87,GTEX-YB5E-0526-SM-4VDSD
88,GTEX-YEC4-1326-SM-5IFHG
89,GTEX-ZAB4-1726-SM-5HL8C
90,GTEX-ZAB5-0826-SM-5P9FU
91,GTEX-ZEX8-1026-SM-4WKHE
92,GTEX-ZF29-1126-SM-4WKGO
93,GTEX-ZF29-1126-SM-4WKGO
94,GTEX-ZF2S-0426-SM-4WKGP
95,GTEX-ZPU1-0226-SM-4WWC9
96,GTEX-ZPU1-0226-SM-4WWC9
97,GTEX-ZPU1-0226-SM-4WWC9
98,GTEX-ZTPG-1026-SM-5DUWP
99,GTEX-ZVP2-0726-SM-59HKY
100,GTEX-ZYT6-1326-SM-5E453
101,GTEX-ZYY3-0826-SM-5E44R
